Date,Country,Rating,Title,Review,Helpful,Page
24-Sep-21,the United States,5,Such a crazy experience,"Got mine delivered really fast. I was able to set up everything with no problem and with ease. Truly a crazy experience to be in a virtual world--you actually forget that what you see isn't actually real. I found myself oftentimes carefully not bumping into the i.e. furniture in the virtual world when it was just space and nothingness outside of it. One of the coolest features I am stumped about is that if you leave a certain area that you have previously marked, the headset has a grayscale camera that reveals what's in front of you. This is extremely useful for safety measures as it alerts you if you stray too far from your marked territory. Absolutely love it! Also, the headset lasts for about ~2 hours before you need to recharge if you're playing games nonstop.Edit: For those who wear glasses, I highly recommend to buy VR Wave prescription lenses with the headset. For me personally, it's been huge inconvenience trying to remove the headset and putting it back on until I made the investment and bought the lenses. It'll definitely help with having fun in VR without having to adjust your headset frequently.",462,2
25-Sep-21,the United States,2,Updated review: User Experience Testing? Don't think so.,"VR has finally started coming of age.I am very much enjoying this device but I'm also very annoyed at having to have a Facebook account.I'm also not very fond of the way the device daisy-chains to connect to Steam, and I've had problems across the two VR systems.There is a learning curve here for sure.That said, this is a whole lot of fun.UPDATE:lots of usage later I have discovered that this device is perfect for running a real-life emulation of what gaming was like in the early 90s.Conflicts and drivers and incompatibilities and half-ready features and buggy, homebuilt games.Oh my.I am not sure what the timeplayed to timefixing ratio might be with this thing, but I have to admit that my 'fun' threshold has been crossed.Here are some of the things you will learn about when you get one of these, to save you some time on Google:Oculus native vr, Oculus Link VR, Steam VR (always crashes eventually), Sidequest, Oculus developer account, VorpX, Virtual Desktop, games that support 90hz and games that do not, trying to reclaim your Steam titles from the Oculus, accidentally buying the native, link, AND steam versions of an app.The list goes on and on.Also, to me, anything that makes me take the headset off and go back to my pc is a strike against.Oculus link will fail at least 30% of the time.Also, if you want to attempt a wireless connection to the device you have to have a very specific network setup for it to even almost work.You must have your PC connected to the router by CABLE so that the only wireless connection is from the mask to the router.*** I accomplished this by hanging an extra access point from my Ethernet connection, bridged to my WiFi.Connecting directly to the private AP worked better in Link, almost perfectly in Virtual Desktop, but, Sidequest stopped working because you can't change the IP in there-- anyway, nothing is easy on this thing.I'm going to file this under ""really cool and almost works novelty"" and go back to gaming on my 3080/240hz modern setup.I'll strap the two ancient low-resolution, low-performance monitors to my face with the snorkling mask as an experiment but I've given up on any notion of actually playing any of these titles.Most of the time you end up taking your mask on and off to troubleshoot things and never progress in the games, unless you like jaggies and blurriness, freezes and skipped frames.Also, if you plan on getting the most out of this VR thing you need to have a VERY large, empty space to play in- you can choose to play seated and stationary in some games, but you still may end up knocking stuff off of your desk.Be careful.Which brings me to the METAVERSE.OK, I understand what Zuck is going for.Here are some problems that will put that idea in the ground:* Headaches and nausea for everyone thanks to the low quality graphics, if you wear glasses you will have problems.*ALL of the ""meta"" apps are creepy and featureless works in progress.I've never had any desire to either float around as a noseless cartoon head with three fingered hands or play a hyper-realistic sex robot.*The user community is, by definition, very very young and very very spoiled.This is a rich kid's toy (or a toy for a retiree with too much time on his hands.)It takes a beefy computer to make this work.Not cheap. *Mandatory Facebook integration: I don't expect this to last. (BTW, anyone who thinks that Zuck didn't know that ""Meta"" means ""Death"" really needs some critical-thinking skill training.)There is something creepy going on here.So the ""metaverse"" will be populated solely by people with money and time and huge empty play spaces who enjoy playing ping-pong with strangers on the death network.This is not an idea destined for popular acceptance.Don't invest in it.This is not ready for prime time yet, and it appears that Facebook is intent on developing the technology solely to enslave people with it.This thing COULD be fun, but it ain't there yet.",104,2
26-Sep-21,the United States,1,REQUIRES a Facebook account / login,"This REQUIRES a Facebook account to use, which is not possible (or wise!) for kids.My 10 yr old kid really wants a VR headset, but after ordering I found out that comes at the cost of a Facebook account, so forget it!It¡¯s going back..",65,2
27-Sep-21,the United States,5,New world for me,"The media could not be loaded.<U+00A0>This is the best gaming experience for years, also I'm sweating a lot, so divesting in oculus is like investing in gym subscription",66,2
28-Sep-21,the United States,1,"Buggy, laggy, painful to use, not really ready for public use","Having owned an HTC Vive for several years, I was interested in trying out what is supposedly the ""next generation"" of VR headsets.I especially liked the idea that it was smaller and more portable and did not need extra boundary sensors and things.But right off the bat, the system was annoying and user un-friendly.For starters, you can't fully-install or run the softwareunless you give GPS location information to Facebook.This is completely unnecessary.Facebook does not need to know my GPS location in order to enable me to pair the device with my mobile phone (that was another unknown requirement: you have to install a special app on your phone to continue configuration of the device. Hardly plug-and-play, and if you don't give Occulus permission to know your location, it will give you ambiguous messages indicating something is wrong when they know exactly what's wrong: they won't allow you to complete the installation unless you give them unnecessary personal information.That's inappropriate.)The Rift has some neat features like a convenient boundary and object detection system, but its processing is just too slow to make VR enjoyable.Even rudimentary games just do not play well.Ok, fine, after all that mess I fire the system up and it immediately wants to up-sell me on a bunch of extra software that I already have purchased on Steam.The system is SIGNIFICANTLY SLOWER than other VR headsets years older.Playing common games like Rec Room or Pokerstars VR result in laggy, unplayable gameplay.It's really horrible.I'm very disappointed in this product.Will not be purchasing any more Occulus products.",62,2
29-Sep-21,the United States,1,Really cool if your a facebook tool,I bought this before I knew you had to have a facebook account to log in. I made a fake account. They already banned it in thirty minutes. If it turns into a whole thing. Ill be returning all this. Its not worth giving my entire life to meta to sell peicemeal. Id rather fork over the extra money for htc or valve,60,2
30-Sep-21,the United States,5,"Breathtaking, easy to use and set up",The media could not be loaded.<U+00A0>I expected this to be good but not this amazing!! The app Wander has taken me to beautiful places I wish I could visit. You feel as if you are just flying.Watch the movie ¡°We are stars¡± 360vr on YouTube and it will take your breath away! My grandson came over and played a drum game¡¦ he asked to have this for Christmas after he played it lol (he is 5) and grandma will oblige of course (with parents supervisor and consent).You need to get this and share it with friends. There will be no way back. At least for someone like me who is not a gamer.,76,2
01-Oct-21,the United States,1,"Lousy interface, low resolution","The unboxing was a nightmare. Couldn't find the usb port. It was covered by protective paper. I thought the power button was a covered usb port and tried to remove it. I tried to piNiall fx starwars gameand ended up standing in the table. I'm not going to waste 2 days to figure it out. I even tried to watch a movie, it was at 720p. And I had motion sickness. If I could afford another headset it would be a Vive that uses Displayport.",93,2
02-Oct-21,the United States,1,Facebook Account Required,"One of my buddies got this VR set and he really enjoys it.I decided to get one as well, but I missed the requirement that you needed a Facebook account.To be clear, I missed it because there was no information showing this requirement.I saw things like:Buy an Oculus Quest 2 by Nov. 29, 2021 and receive $50 digital credit towards future Amazon.com purchasesNext-level Hardware - Make every move count with a blazing-fast processor and our highest-resolution displayAll-In-One Gaming - With backward compatibility, you can explore new titles and old favorites in the expansive Quest content libraryImmersive Entertainment - Get the best seat in the house to live concerts, groundbreaking films, exclusive events and moreEasy Setup - Just open the box, set up with the smartphone app and jump into VR. No PC or console needed. Requires wireless internet access and the Oculus app (free download) to set up devicePremium Display - Catch every detail with a stunning display that features 50% more pixels than the original QuestUltimate Control - Redesigned Oculus Touch controllers transport your movements directly into VR with intuitive controlsPC VR Compatible - Step into incredible Oculus Rift titles by connecting an Oculus Link cable to a compatible gaming PC. Oculus Link Cable sold separately3D Cinematic Sound - Hear in all directions with built-in speakers that deliver cinematic 3D positional audioNo information at all about the need for a FB account.Since I don't have a FB account and will not create one I am going to have to return this device.",57,2
03-Oct-21,the United States,1,A Disappointingly Low Quality VR Experience,"I was more than excited to get the new Oculus Quest 2 based on all of the stellar reviews. But I was extremely disappointed with the low quality of the display for a product that's priced this high.It's extremely blurry and not even remotely clear unless you're staring directly at a single spot on the screen. If you even look a little bit left or right then it becomes even more distorted. You're watching videos recorded in 8K that have the look of a 360p equivalent based on what you're actually seeing in front of your eyes.It's clear that the technology has not caught up yet in order to provide a decent VR experience. I feel that they're rushing to sell these standalone units that aren't tethered to PCs, because most people don't have higher end PCs anymore. At least not anywhere close to what you'd need to run it at a decent enough refresh rate or resolution. It's just not powerful enough to run without some decent hardware, which probably run several grand. I feel it's basically like having a smartphone with goggles attached to it.The advances in the actual interaction in the VR world are quite incredible. The controllers and interface are very impressive, which allow you to interact with objects even with your bare hands. However, it's all a moot point if the display quality makes the experience unusable in the first place.I had high hopes of having a better experience based on the reviews that you see everywhere online and on YouTube. It fell far short of my expectations, yet everywhere you look reviewers and companies are raving about it. But I guess if you have a multi-billion dollar company that controls social media, then you're bound to have biased ""opinions"" work out in your favor.Do yourself a major favor and try out someone else's before making the purchase. If you're anything like me, then you just might be completely underwhelmed with this newest VR experience by Oculus.",48,2
04-Oct-21,the United States,5,amazing experience,very good quality headset.Feels very comfortable to wear if you put back strap near your ocipital bone but sadly lot of people don't know how to wear properly i mentioned.Great for watch netflixmovie in monster IMAX theater screen and also tons of 3D VR 180 videos on Youtube.Games are so many to choose and more new gameto come every week.,86,3
23-Oct-21,the United States,1,My 12 year old has become a cynic,"The kiddo saved up FOREVER to buy these VR goggles. It was all he could talk about and drove us crazy. He finally had enough, ordered them with expedited shipping, and planted by the door the day they were scheduled to arrive. Exactly 2 days after he got them, he said they kept going to a gray screen, showing some dots, then wouldn't power on until he did a hard restart. We Googled the headset to see if we could resolve the issue. This is a KNOWN problem dating back to their original release and no corrections have been made. Literally thousands of blogs, reviews, and forums address this. I don't blame the seller because they were awesome and very responsive to our refund request after two weeks of trying to figure out a solution. Do your research. Some are just fine with no problems, and then there are those that make a 12 year old question how a manufacturer can continue to sell an item with known issues. The whole ordeal really sucked the wind out of his sails.",36,3
24-Oct-21,the United States,1,You have to have a Facebook account. I don't believe in Facebook.,"Unless you want to turn your whole piece of mind over to Facebook, do not buy. Requires a Facebook account before you can even use it. So in other words you buy it. Facebook owns it.",49,3
25-Oct-21,the United States,3,"Not great, not terrible","Oculus Quest 2 is really great if your intention is just to play Beat Saber all day. But the reality is that practically speaking, it's a lower resolution and lower tier VR experience. Facebook's own Horizon Workspaces doesn't work very well on the Quest 2, because it has low resolution and trying to focus your eyes on your computer screen in VR Is not very fun. Immersed (another VR workspace app) is okay, and low enough latency for decent work in VR but the resolution of the Quest 2 will still bite you.Apps like YouTube VR are okay, because the screen is practically at the optimized FOV convergence point. But the reality is that the display is so low resolution that 360 videos kinda don't look great on the display anyway. It's really a shame.A different head strap is mandatory. This hurts a TON after wearing it for any extended period of time. Impressively bad head strap. Will leave red marks on your face.Finally, the biggest thing I haven't mentioned is that the device itself runs Android, and it's a pretty low powered android device. Unfortunately, this means that apps like YouTube VR can lag and stutter, which really sucks more in VR than any other device. In VR, lag and stuttering means that your view suddenly freezes, which immediately creates motion sickness. Not great.But it's an okay first experience for VR. It's a great Beat Saber machine. For anything other than Beat Saber, you're probably better off waiting for the Quest 3 or getting a different VR headset with higher resolution displays and better FOV lenses.",55,3
26-Oct-21,the United States,5,Love Supernatural app! Best purchase all year!,"I specifically bought the Quest 2 to try out Supernatural, absolutely the best purchase all year!I'm a 50 something morbidly obese woman who struggles with mobility issues so I use my Quest 2 while seated in a swiveling office chair (I recommend no arms...) Yes Beat Saber is fun and Wander allows me to explore the globe from home but Supernatural is LIFE CHANGING.Just in 2 months of using the Supernatural app to workout (flow and now BOXING!) I am seeing many physical improvements! My body is toning up, I'm developing obvious new muscles in my arms, back, neck, belly and LEGS - all while seated from a chair! I'm walking easier, my legs and back hurt less and I have more energy. I'm stunned my calves and thighs are getting stronger, my husband pointed out he sees me using my legs to pivot the chair to follow portals and I do lean n lunge with thetriangles, too.The Supernatural FB community is awesome too. I've met some really cool new online friends from around the country.I highly recommend the Q2 though unless you plan to download a ton of movies you really only need the 128 version. 2 months in and I realize there's no way I will fill the 256 unless I record many hours of my Supernatural workouts lolGet the Quest 2, Get Supernatural and JOIN US! You'll be glad you did!",34,3
27-Oct-21,the United States,5,This thing is amazing,"This is the virtual reality device I have been dreaming of since the mid 90s. I am primarily a PC gamer, so I wanted something that would work with my PC, and I was not all that interested in the standalone functionality. I was amazed at the quality of the standalone quest 2 games. The virtual environments are much more convincing than I expected. It really feels like you are IN these games. The controllers do a great job of mimicking real life hand use, and the haptic feedback can make it feel like you are actually touching/pressing things (example:saving your game in Resident Evil 4 VR really feels like you are typing on an old mechanical typewriter). The first time I took the headset off, I had to spend several seconds processing the fact that my living room was indeed real. You can also use this to watch shows and movies, and even meet up with people this way. I delayed buying one for years because I was worried I would regret it, but instead it's better than I dared to hope.",61,3
28-Oct-21,the United States,5,I am absolutely blown away!,"I have always loved the idea of VR and I have tried it a handful of times through store kiosks and local arcades that have them. But I was never able to actually own one myself because I never had a PC powerful enough nor the room space to be able to use it effectively. But I recently got a new apartment that is huge and I finally scrapped the extra money together to buy the quest 2 and I have nothing but good things to say about it. I love that it does not require any cables to be able to use it when it is charged so the freedom inside the games feels even more immersive. I also love the picture quality, I was nervous at first seeing as how it is not using a PC to be it's graphical power source but I was wrong, it is gorgeous and I literally feel like I am in another world. I will also say for anyone concerned (I didn't give a crap at all btw), it was just announced yesterday that a Facebook account is no longer required to use this device, so if that was a deal breaker for you then you're in luck! So far I have played Superhot, VR-Chat, Arizona Sunshine, and Vader Immortal and they were all breathtaking experiences and I was in my glory the entire time. The controllers are super accurate and feel great to hold, every button is perfectly positioned on the controllers. I also found that the 128gb model is plenty of storage for how small most of the games are install size wise so I feel there is no need to spend an extra $100 on unneeded storage. One thing that may be an issue for some is the head-strap built onto the headset itself. I had heard from a few people that the (sold separately) strap extension is a MUST for people with even remotely bigger heads, I find as someone with a big head that the default head-strap is completely fine for me. Luckily I opted to take a risk and not buy the separate strap extension because it would have been a waste of money for me. You may want it if you wear glasses though which I do not. But, obviously no device is perfect so I will say what I do not like is how short the battery life is but I suppose it is a good thing because it forces you to give your eyes a break so it is what it is. All and all, I would highly recommend this device to everyone. It is amazing.",39,3
29-Oct-21,the United States,1,Blurry!!!,How can you sell such a blurry piece of hardware? We tried adjusting the lens in the 3 different positions. Tried by all members of the family including a kid. Everyone finds it the content BLURRY!!! Feels like watching a poor quality SD video. Was this not tested before releasing??,31,3
30-Oct-21,the United States,1,A user should not have to create a Facebook account to use,"I purchased this product because I thought using some of the exercise games would be a good way of getting myself off of the couch. My first disappointment was learning that I had to create a Facebook account in order to use this device.I don't use Facebook because they've been so lax with their users personal data.And, given all of the media attention they've gotten regarding how their own research shows how harmful one of its platforms is to young girls, that they held onto, gives me no faith that they want to protect us or our data.I decided that I would create an account and only use it when I use the Oculus.This is where my second disappointment came about. I went through the process of creating an account and once I was done I got a message stating that my account did not meet community standards. What?!! I was asked to upload a picture of myself so that they could verify I'm really who I said I was, which I did (are they using facial recognition?).I got this final message, ""We received your informationIf we still find that your account didn't follow our Community Standards, it will remain disabled.We're always looking out for the security of people on Facebook, so until then you can't use your account"".I doubt they're looking out for my security or yours.If my account is still disabled after a couple of days I'll send the $399 device back and get my exercise the old fashion way.Until then, the Oculus is nothing more than a lead weight.",27,3
31-Oct-21,the United States,1,Facebook account,"Can't say if the product was any good, as once I got it, I discovered (as part of the install process) that you absolutely HAD to have a Facebook account to even install the headset, and, link it to your Facebook account!Spent some time chatting with their helpdesk who said there was NO way around that...so returned the item.I refuse to make a FBaccount just to use a headset, and certainly don't need Facebook targeting me with ads based on what I play on it.",26,3
01-Nov-21,the United States,5,Its awesome thing,The media could not be loaded.<U+00A0>It's awesome thing. It's great experience.,28,4
02-Nov-21,the United States,3,"No ipd setting higher then 70, cheap silicon cover",My ipd is 72 so I can only use it for less then a hour because I start getting a headache. I also wear glasses and they don't fit inside the headset. You can get some lens adapters from vrwave but their half the price of the quest 2. Overall if your ipd is above 70 I wouldn't bother buying.,54,4
03-Nov-21,the United States,5,Awesome !,"Bought this for my boyfriend as a Christmas gift and I was too excited to wait so he opened it and absolutely loved it ! Set up took about 10min and it comes with plenty free apps to try it out but I¡¯m sure we¡¯ll buy a few games soon. Didn¡¯t have any issues with the lenses, they had 3 modes and the 2nd mode worked the best. Very comfy headset and very easy to use. Worth it 100% !!!",38,4
04-Nov-21,the United States,1,"Controlled limited market, avoid this product","The product is digitally locked down and limits the uses.Can be used for 3d movies and resolution is good, but everything you do is tracked and linked to your account.Wish I had not purchased.",24,4
05-Nov-21,the United States,1,"Interesting. But, Not That Special. And, You're forced to Get FaceBook. NO way around That","Causes eye strain. No amount of adjusting makes this feel comfortable. I purchased the Elite head strap. It's like having a brick tied to your face. It's like inviting people over to a party, but then you hide in the bathroom, and you can then go 'ah and ooh' and tell them how cool it is. And, they wait for you to come out eventually. When you pull it off your face, you're slimy and gross. Yey, motions sickness, that what I wanted.My curiosity was satisfied after one demo. Packed it up and sent it back. Did I mention YOU MUST GET FACEBOOK? There's no workaround. You must have or create a Facebook account.",23,4
06-Nov-21,the United States,5,Great virtual reality helmet,"I took this helmet as my first. I really liked himOf the merits, very good picture quality (no pixels visible)Games can be run directly on the helmet itself, it's just like a console on your head! Moreover, the games look pretty nice, although some games look better on pcExcellent tracking of controllers I have never had such a thing that he lost controllersHand tracking is also present, but it works mediocre enough. It needs excellent lighting and does not cover each other's hands. In general, a cool feature, but for now it needs some work.Well, it's also worth noting that the headset itself has an excellent sound! I thought that he would be pretty mediocre on it, and therefore decided to take headphones as well. Headphones are certainly not bad, but I still prefer the sound from the helmet itself so as not to wear anything extraI also want to note the controllers themselves, the batteries that are preinstalled at the bottom can last a charge for about a month, and also from time to time I can hit the wall and the controllers are quite strong (unlike my fingers)Well, the price is $ 300Of the minuses Once, I accidentally hit the helmet with the controller and the sound in one of the headphones on the helmet disappeared, but then I accidentally hit it again and it came back <U+00AF> \ _ («Ä) _ / <U+00AF>",42,4
07-Nov-21,the United States,1,"Serial Number did not match, defective item",I purchase this item and it was defective kept freezing up. I tried to return it and Iwas told that the serial number did not match the one on box. It was the same item I received. The seller discarded my return and no refund,23,4
08-Nov-21,the United States,1,Make sure you applied the $50 credit promised,"I think I got a used one which is ok,but the worst thing is that I didn't get the $50 credit promised I'm not satisfied with my purchase.",20,4
09-Nov-21,the United States,3,Review from an Original Quest User,"I originally ordered the 64gb but was cancelled due to the transition to 128gb. The storage obviously wasn¡¯t the reason that I wanted to ¡°upgrade¡± to the Quest 2, it was really for the supposedly lighter weight.I was disappointed to find out that the weight for both Quest and Quest 2 units are the same. The published weights for both headsets are with their respective straps attached. Of course, the unit with the cloth strap would come out lighter. I discovered this by having both attached to a Beswin Halo strap and both units came in at 731 grams to my surprise. All the YT reviews didn¡¯t bother to check I guess.If it wasn¡¯t for the higher storage, I would have returned this. The higher resolution, and better processor eases the disappointment as well. I would have been ok using the original for a bit longer but might as well enjoy the newest version, even if it is the same weight. The halo strap helps with that a bunch.",42,4
10-Nov-21,the United States,1,Facebook kills it.Had to return it.,"I really wanted to use this.I had a Facebook account years ago and didn't like it, so I deactivated it.My choice.Now, I could only go under that account, which it said was now disabled.I can't create a new one.Every avenue they gave to try to fix it did not work.It's impossible to actually talk to someone there.So I can't use this and have to return it.Why in the world you need to link it to a social platform, I have no idea.Especially when that platform has such poor customer support.Guess I'll just have to wait to see what the next Sony VR upgrade will be.",17,4
